City,State,FIPS,Population
New York,New York,3651000,8516202
Los Angeles,California,0644000,3857897
Chicago,Illinois,1714000,2707648
Houston,Texas,4835000,2300419
Phoenix,Arizona,0455000,1624832
Philadelphia,Pennsylvania,4260000,1582432
San Antonio,Texas,4865000,1458954
San Diego,California,0666000,1385061
Dallas,Texas,4819000,1299553
San Jose,California,0668000,990054
Austin,Texas,4805000,967862
Jacksonville,Florida,1235000,961739
Fort Worth,Texas,4827000,941311
Columbus,Ohio,3918000,906480
Charlotte,North Carolina,3712000,886283
San Francisco,California,0667000,836321
Seattle,Washington,5363000,741440
Denver,Colorado,0820000,713734
Oklahoma City,Oklahoma,4055000,688693
El Paso,Texas,4824000,678147
Washington,District of Columbia,1150000,672079
Boston,Massachusetts,2507000,663972
Las Vegas,Nevada,3240000,650873
Portland,Oregon,4159000,642715
Detroit,Michigan,2622000,636644
Memphis,Tennessee,4748000,629063
Baltimore,Maryland,2404000,577193
Milwaukee,Wisconsin,5553000,569756
Albuquerque,New Mexico,3502000,562488
Fresno,California,0627000,543615
Tucson,Arizona,0477000,543348
Sacramento,California,0664000,524802
Kansas City,Missouri,2938000,508233
Mesa,Arizona,0446000,507478
Atlanta,Georgia,1304000,499287
Omaha,Nebraska,3137000,488197
Colorado Springs,Colorado,0816000,483099
Raleigh,North Carolina,3755000,470763
Long Beach,California,0643000,458491
Virginia Beach,Virginia,5182000,457066
Miami,Florida,1245000,446663
Oakland,California,0653000,438072
Minneapolis,Minnesota,2743000,426845
Tulsa,Oklahoma,4075000,412322
Bakersfield,California,0603526,408366
Wichita,Kansas,2079000,396488
Arlington,Texas,4804000,394769
Tampa,Florida,1271000,393389
Aurora,Colorado,0804000,390201
New Orleans,Louisiana,2255000,376035
Cleveland,Ohio,3916000,367523
Anaheim,California,0602000,344553
Henderson,Nevada,3231900,324523
Stockton,California,0675000,320470
Corpus Christi,Texas,4817000,317383
Riverside,California,0662000,316241
Orlando,Florida,1253000,311732
Santa Ana,California,0669000,311639
Cincinnati,Ohio,3915000,309595
Irvine,California,0636770,308160
St. Paul,Minnesota,2758000,307762
Newark,New Jersey,3451000,307188
Pittsburgh,Pennsylvania,4261000,303620
Greensboro,North Carolina,3728000,298564
St. Louis,Missouri,2965000,293109
Lincoln,Nebraska,3128000,291932
Jersey City,New Jersey,3436000,289691
Durham,North Carolina,3719000,288465
Plano,Texas,4858016,287339
Chandler,Arizona,0412000,278123
Buffalo,New York,3611000,276397
Madison,Wisconsin,5548000,275568
Chula Vista,California,0613392,275030
North Las Vegas,Nevada,3251800,270773
Reno,Nevada,3260600,268959
Toledo,Ohio,3977000,268461
Fort Wayne,Indiana,1825000,266235
Lubbock,Texas,4845000,261078
St. Petersburg,Florida,1263000,260646
Laredo,Texas,4841464,255949
Irving,Texas,4837000,255036
Chesapeake,Virginia,5116000,251153
Winston-Salem,North Carolina,3775000,250887
Glendale,Arizona,0427820,250193
Garland,Texas,4829000,245298
Scottsdale,Arizona,0465000,242169
Boise City,Idaho,1608830,235701
Norfolk,Virginia,5157000,235037
Spokane,Washington,5367000,229228
Santa Clarita,California,0669088,229021
Fremont,California,0626000,228518
Richmond,Virginia,5167000,227595
Baton Rouge,Louisiana,2205000,223699
Hialeah,Florida,1230000,221901
San Bernardino,California,0665000,221774
Tacoma,Washington,5370000,220482
Port St. Lucie,Florida,1258715,220453
Huntsville,Alabama,0137000,218814
Modesto,California,0648354,218614
Des Moines,Iowa,1921000,212464
